exp_num,subrun,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
3,B,A,0,control,A_0,30,F,S,F_S,252,CNTRL_30_F_S,W3O17,W3O17_exp3B,1,W3O17_day1_exp3B,W3O17_3B_day1.JPG,0.58953,W3O17_day11_exp3B,W3O17_3B_day11.JPG,0.60997,0.034671688,0.02044
1,A,A,0,control,A_0,30,S,S,S_S,157,CNTRL_30_S_S,B33G95,B33G95_exp1A,1,B33G95_day1_exp1A,B33G95_1A_day1.JPG,0.63849,B33G95_day11_exp1A,B33G95_1A_day11.JPG,0.6038,-0.054331313,-0.03469
2,A,A,0,control,A_0,30,S,A,S_A,233,CNTRL_30_S_A,B29G67,B29G67_exp2A,1,B29G67_day1_exp2A,B29G67_2A_day1.JPG,0.52761,B29G67_day11_exp2A,B29G67_2A_day11.JPG,0.5375,0.018744906,0.00989
1,B,A,0,control,A_0,30,F,S,F_S,167,CNTRL_30_F_S,B13G10,B13G10_exp1B,1,B13G10_day1_exp1B,B13G10_1B_day1.JPG,0.48781,B13G10_day11_exp1B,B13G10_1B_day11.JPG,0.53401,0.094709006,0.0462
2,B,A,0,control,A_0,30,S,S,S_S,198,CNTRL_30_S_S,B34G3106,B34G3106_exp2B,1,B34G3106_day1_exp2B,B34G31_2B_day1.JPG,0.51303,B34G3106_day11_exp2B,B34G31_2B_day11.JPG,0.53264,0.038223886,0.01961
1,B,A,0,control,A_0,20,F,A,F_A,167,CNTRL_20_F_A,B26G48,B26G48_exp1B,1,B26G48_day1_exp1B,B26G48_1B_day1.JPG,0.53307,B26G48_day11_exp1B,B26G48_1B_day11.JPG,0.52948,-0.006734575,-0.00359
1,B,A,0,control,A_0,30,F,A,F_A,167,CNTRL_30_F_A,B13G2,B13G2_exp1B,1,B13G2_day1_exp1B,B13G2_1B_day1.JPG,0.54838,B13G2_day11_exp1B,B13G2_1B_day11.JPG,0.5292,-0.034975747,-0.01918
2,B,A,0,control,A_0,30,F,A,F_A,170,CNTRL_30_F_A,B33G90,B33G90_exp2B,1,B33G90_day1_exp2B,B33G90_2B_day1.JPG,0.53134,B33G90_day11_exp2B,B33G90_2B_day11.JPG,0.52453,-0.012816652,-0.00681
3,B,A,0,control,A_0,20,S,S,S_S,254,CNTRL_20_S_S,O4B24,O4B24_exp3B,1,O4B24_day1_exp3B,O4B24_3B_day1.JPG,0.5333,O4B24_day11_exp3B,O4B24_3B_day11.JPG,0.52125,-0.022595162,-0.01205
2,B,A,0,control,A_0,30,F,S,F_S,226,CNTRL_30_F_S,B33G95,B33G95_exp2B,1,B33G95_day1_exp2B,B33G95_2B_day1.JPG,0.39021,B33G95_day11_exp2B,B33G95_2B_day11.JPG,0.51502,0.319853412,0.12481
1,A,A,0,control,A_0,30,S,A,S_A,154,CNTRL_30_S_A,B33G92,B33G92_exp1A,1,B33G92_day1_exp1A,B33G92_1A_day1.JPG,0.45585,B33G92_day11_exp1A,B33G92_1A_day11.JPG,0.51177,0.122671932,0.05592
2,A,A,0,control,A_0,30,S,S,S_S,205,CNTRL_30_S_S,B29G70,B29G70_exp2A,1,B29G70_day1_exp2A,B29G70_2A_day1.JPG,0.44632,B29G70_day11_exp2A,B29G70_2A_day11.JPG,0.5045,0.130354902,0.05818
1,B,A,0,control,A_0,30,S,S,S_S,167,CNTRL_30_S_S,B25G46,B25G46_exp1B,1,B25G46_day1_exp1B,B25G46_1B_day1.JPG,0.50413,B25G46_day11_exp1B,B25G46_1B_day11.JPG,0.50099,-0.006228552,-0.00314
2,A,A,0,control,A_0,20,S,A,S_A,233,CNTRL_20_S_A,B24G40,B24G40_exp2A,1,B24G40_day1_exp2A,B24G40_2A_day1.JPG,0.52712,B24G40_day11_exp2A,B24G40_2A_day11.JPG,0.49753,-0.056135225,-0.02959
2,B,A,0,control,A_0,30,S,A,S_A,178,CNTRL_30_S_A,B34G97,B34G97_exp2B,1,B34G97_day1_exp2B,B34G97_2B_day1.JPG,0.5517,B34G97_day11_exp2B,B34G97_2B_day11.JPG,0.4951,-0.102591988,-0.0566
1,A,A,0,control,A_0,20,F,A,F_A,152,CNTRL_20_F_A,B24G38,B24G38_exp1A,1,B24G38_day1_exp1A,B24G38_1A_day1.JPG,0.50635,B24G38_day11_exp1A,B24G38_1A_day11.JPG,0.48912,-0.034027846,-0.01723
1,B,A,0,control,A_0,30,F,S,F_S,178,CNTRL_30_F_S,B13G13,B13G13_exp1B,1,B13G13_day1_exp1B,B13G13_1B_day1.JPG,0.45258,B13G13_day11_exp1B,B13G13_1B_day11.JPG,0.47878,0.057890318,0.0262
1,A,A,0,control,A_0,30,F,S,F_S,155,CNTRL_30_F_S,B31G82,B31G82_exp1A,1,B31G82_day1_exp1A,B31G82_1A_day1.JPG,0.53367,B31G82_day11_exp1A,B31G81_1A_day11.JPG,0.47829,-0.103771994,-0.05538
3,A,A,0,control,A_0,30,F,S,F_S,241,CNTRL_30_F_S,B28G63,B28G63_exp3A,1,B28G63_day1_exp3A,B28G63_3A_day1.JPG,0.45753,B28G63_day11_exp3A,B28G63_3A_day11.JPG,0.46737,0.021506786,0.00984
2,A,A,0,control,A_0,30,S,S,S_S,222,CNTRL_30_S_S,B29G71,B29G71_exp2A,1,B29G71_day1_exp2A,B29G71_2A_day1.JPG,0.43379,B29G71_day11_exp2A,B29G71_2A_day11.JPG,0.46206,0.065169783,0.02827
3,B,A,0,control,A_0,30,F,S,F_S,248,CNTRL_30_F_S,W3O15,W3O15_exp3B,1,W3O15_day1_exp3B,W3O15_3B_day1.JPG,0.42019,W3O15_day11_exp3B,W3O15_3B_day11.JPG,0.46049,0.095908994,0.0403
1,A,A,0,control,A_0,20,S,S,S_S,157,CNTRL_20_S_S,B34G3409,B34G3409_exp1A,1,B34G3409_day1_exp1A,B34G34_1A_day1.JPG,0.36539,B34G3409_day11_exp1A,B34G34_1A_day11.JPG,0.45966,0.257998303,0.09427
3,B,A,0,control,A_0,20,S,A,S_A,243,CNTRL_20_S_A,O3B20,O3B20_exp3B,1,O3B20_day1_exp3B,O3B20_3B_day1.JPG,0.51594,O3B20_day11_exp3B,O3B20_3B_day11.JPG,0.45816,-0.111989766,-0.05778
3,A,A,0,control,A_0,20,F,S,F_S,241,CNTRL_20_F_S,B23G37,B23G37_exp3A,1,B23G37_day1_exp3A,B23G37_3A_day1.JPG,0.41494,B23G37_day11_exp3A,B23G37_3A_day11.JPG,0.45623,0.099508363,0.04129
2,B,A,0,control,A_0,20,F,A,F_A,170,CNTRL_20_F_A,B27G53,B27G53_exp2B,1,B27G53_day1_exp2B,B27G53_2B_day1.JPG,0.47811,B27G53_day11_exp2B,B27G53_2B_day11.JPG,0.45456,-0.049256447,-0.02355
3,B,A,0,control,A_0,30,S,A,S_A,243,CNTRL_30_S_A,W3O20,W3O20_exp3B,1,W3O20_day1_exp3B,W3O20_3B_day1.JPG,0.55265,W3O20_day11_exp3B,W3O20_3B_day11.JPG,0.45391,-0.178666425,-0.09874
3,B,A,0,control,A_0,20,F,S,F_S,252,CNTRL_20_F_S,O3B17,O3B17_exp3B,1,O3B17_day1_exp3B,O3B17_3B_day1.JPG,0.53115,O3B17_day11_exp3B,O3B17_3B_day11.JPG,0.45352,-0.14615457,-0.07763
3,A,A,0,control,A_0,30,F,S,F_S,240,CNTRL_30_F_S,B28G62,B28G62_exp3A,1,B28G62_day1_exp3A,B28G62_3A_day1.JPG,0.46216,B28G62_day11_exp3A,B28G62_3A_day11.JPG,0.45334,-0.0190843,-0.00882
2,A,A,0,control,A_0,20,S,A,S_A,210,CNTRL_20_S_A,B24G39,B24G39_exp2A,1,B24G39_day1_exp2A,B24G39_2A_day1.JPG,0.45366,B24G39_day11_exp2A,B24G39_2A_day11.JPG,0.45318,-0.001058061,-0.00048
1,A,A,0,control,A_0,20,F,S,F_S,155,CNTRL_20_F_S,B24G42,B24G42_exp1A,1,B24G42_day1_exp1A,B24G42_1A_day1.JPG,0.41567,B24G42_day11_exp1A,B24G42_1A_day11.JPG,0.4524,0.088363365,0.03673
3,A,A,0,control,A_0,20,F,A,F_A,234,CNTRL_20_F_A,B23G33,B23G33_exp3A,1,B23G33_day1_exp3A,B23G33_3A_day1.JPG,0.46059,B23G33_day11_exp3A,B23G33_3A_day11.JPG,0.44739,-0.028658894,-0.0132
3,A,A,0,control,A_0,20,S,S,S_S,241,CNTRL_20_S_S,B24G42,B24G42_exp3A,1,B24G42_day1_exp3A,B24G42_3A_day1.JPG,0.38218,B24G42_day11_exp3A,B24G42_3A_day11.JPG,0.4466,0.168559318,0.06442
2,B,A,0,control,A_0,20,S,A,S_A,215,CNTRL_20_S_A,B30G72,B30G72_exp2B,1,B30G72_day1_exp2B,B30G72_2B_day1.JPG,0.44217,B30G72_day11_exp2B,B30G72_2B_day11.JPG,0.44562,0.007802429,0.00345
2,B,A,0,control,A_0,30,F,S,F_S,211,CNTRL_30_F_S,B33G94,B33G94_exp2B,1,B33G94_day1_exp2B,B33G94_2B_day1.JPG,0.32872,B33G94_day11_exp2B,B33G94_2B_day11.JPG,0.43986,0.338099294,0.11114
2,B,A,0,control,A_0,20,F,S,F_S,191,CNTRL_20_F_S,B27G55,B27G55_exp2B,1,B27G55_day1_exp2B,B27G55_2B_day1.JPG,0.42903,B27G55_day11_exp2B,B27G55_2B_day11.JPG,0.43631,0.01696851,0.00728
1,B,A,0,control,A_0,20,S,S,S_S,167,CNTRL_20_S_S,B28G62,B28G62_exp1B,1,B28G62_day1_exp1B,B28G62_1B_day1.JPG,0.45839,B28G62_day11_exp1B,B28G62_1B_day11.JPG,0.43279,-0.055847641,-0.0256
2,B,A,0,control,A_0,20,F,S,F_S,226,CNTRL_20_F_S,B27G57,B27G57_exp2B,1,B27G57_day1_exp2B,B27G57_2B_day1.JPG,0.45069,B27G57_day11_exp2B,B27G57_2B_day11.JPG,0.43197,-0.041536311,-0.01872
1,A,A,0,control,A_0,30,S,S,S_S,144,CNTRL_30_S_S,B33G93,B33G93_exp1A,1,B33G93_day1_exp1A,B33G93_1A_day1.JPG,0.36301,B33G93_day11_exp1A,B33G93_1A_day11.JPG,0.43167,0.189140795,0.06866
2,A,A,0,control,A_0,20,F,A,F_A,209,CNTRL_20_F_A,B23G34,B23G34_exp2A,1,B23G34_day1_exp2A,B23G34_2A_day1.JPG,0.38539,B23G34_day11_exp2A,B23G34_2A_day11.JPG,0.43114,0.118710916,0.04575
2,A,A,0,control,A_0,20,S,S,S_S,201,CNTRL_20_S_S,B24G41,B24G41_exp2A,1,B24G41_day1_exp2A,B24G41_2A_day1.JPG,0.40926,B24G41_day11_exp2A,B24G41_2A_day11.JPG,0.42802,0.045838831,0.01876
2,A,A,0,control,A_0,30,F,S,F_S,198,CNTRL_30_F_S,B28G62,B28G62_exp2A,1,B28G62_day1_exp2A,B28G62_2A_day1.JPG,0.42078,B28G62_day11_exp2A,B28G62_2A_day11.JPG,0.42618,0.01283331,0.0054
3,A,A,0,control,A_0,30,S,A,S_A,237,CNTRL_30_S_A,B29G65,B29G65_exp3A,1,B29G65_day1_exp3A,B29G65_3A_day1.JPG,0.38913,B29G65_day11_exp3A,B29G65_3A_day11.JPG,0.42001,0.079356513,0.03088
3,A,A,0,control,A_0,30,S,S,S_S,240,CNTRL_30_S_S,B29G70,B29G70_exp3A,1,B29G70_day1_exp3A,B29G70_3A_day1.JPG,0.38009,B29G70_day11_exp3A,B29G70_3A_day11.JPG,0.41738,0.098108343,0.03729
3,B,A,0,control,A_0,20,F,S,F_S,244,CNTRL_20_F_S,O3B14,O3B14_exp3B,1,O3B14_day1_exp3B,O3B14_3B_day1.JPG,0.39646,O3B14_day11_exp3B,O3B14_3B_day11.JPG,0.41707,0.051985068,0.02061
1,A,A,0,control,A_0,30,S,A,S_A,155,CNTRL_30_S_A,B33G90,B33G90_exp1A,1,B33G90_day1_exp1A,B33G90_1A_day1.JPG,0.3234,B33G90_day11_exp1A,B33G90_1A_day11.JPG,0.41328,0.277922078,0.08988
2,B,A,0,control,A_0,20,S,S,S_S,217,CNTRL_20_S_S,B30G75,B30G75_exp2B,1,B30G75_day1_exp2B,B30G75_2B_day1.JPG,0.38881,B30G75_day11_exp2B,B30G75_2B_day11.JPG,0.40837,0.050307348,0.01956
1,A,A,0,control,A_0,20,F,S,F_S,151,CNTRL_20_F_S,B24G41,B24G41_exp1A,1,B24G41_day1_exp1A,B24G41_1A_day1.JPG,0.37772,B24G41_day11_exp1A,B24G41_1A_day11.JPG,0.4083,0.080959441,0.03058
1,A,A,0,control,A_0,30,F,S,F_S,144,CNTRL_30_F_S,B31G79,B31G79_exp1A,1,B31G79_day1_exp1A,B31G79_1A_day1.JPG,0.47712,B31G79_day11_exp1A,B31G79_1A_day11.JPG,0.40782,-0.145246479,-0.0693
3,B,A,0,control,A_0,30,F,A,F_A,242,CNTRL_30_F_A,W3O13,W3O13_exp3B,1,W3O13_day1_exp3B,W3O13_3B_day1.JPG,0.42906,W3O13_day11_exp3B,W3O13_3B_day11.JPG,0.40702,-0.051368107,-0.02204
2,B,A,0,control,A_0,20,S,A,S_A,171,CNTRL_20_S_A,B30G73,B30G73_exp2B,1,B30G73_day1_exp2B,B30G73_2B_day1.JPG,0.49533,B30G73_day11_exp2B,B30G73_2B_day11.JPG,0.40608,-0.180182908,-0.08925
2,A,A,0,control,A_0,30,F,A,F_A,232,CNTRL_30_F_A,B28G60,B28G60_exp2A,1,B28G60_day1_exp2A,B28G60_2A_day1.JPG,0.36463,B28G60_day11_exp2A,B28G60_2A_day11.JPG,0.40398,0.107917615,0.03935
3,B,A,0,control,A_0,30,S,S,S_S,255,CNTRL_30_S_S,W4O24,W4O24_exp3B,1,W4O24_day1_exp3B,W4O24_3B_day1.JPG,0.42961,W4O24_day11_exp3B,W4O24_3B_day11.JPG,0.40066,-0.0673867,-0.02895
2,A,A,0,control,A_0,30,F,S,F_S,220,CNTRL_30_F_S,B28G63,B28G63_exp2A,1,B28G63_day1_exp2A,B28G63_2A_day1.JPG,0.42885,B28G63_day11_exp2A,B28G63_2A_day11.JPG,0.40064,-0.065780576,-0.02821
3,A,A,0,control,A_0,20,F,S,F_S,239,CNTRL_20_F_S,B23G36,B23G36_exp3A,1,B23G36_day1_exp3A,B23G36_3A_day1.JPG,0.38103,B23G36_day11_exp3A,B23G36_3A_day11.JPG,0.40006,0.049943574,0.01903
1,B,A,0,control,A_0,20,S,A,S_A,187,CNTRL_20_S_A,B28G60,B28G60_exp1B,1,B28G60_day1_exp1B,B28G60_1B_day1.JPG,0.38332,B28G60_day11_exp1B,B28G60_1B_day11.JPG,0.39698,0.035636022,0.01366
2,A,A,0,control,A_0,20,F,S,F_S,220,CNTRL_20_F_S,B23G37,B23G37_exp2A,1,B23G37_day1_exp2A,B23G37_2A_day1.JPG,0.33179,B23G37_day11_exp2A,B23G37_2A_day11.JPG,0.39031,0.176376624,0.05852
1,B,A,0,control,A_0,30,F,A,F_A,178,CNTRL_30_F_A,B13G3,B13G3_exp1B,1,B13G3_day1_exp1B,B13G3_1B_day1.JPG,0.38279,B13G3_day11_exp1B,B13G3_1B_day11.JPG,0.39025,0.019488492,0.00746
3,B,A,0,control,A_0,20,F,A,F_A,242,CNTRL_20_F_A,O3B13,O3B13_exp3B,1,O3B13_day1_exp3B,O3B13_3B_day1.JPG,0.38903,O3B13_day11_exp3B,O3B13_3B_day11.JPG,0.38996,0.002390561,0.00093
3,B,A,0,control,A_0,30,S,S,S_S,245,CNTRL_30_S_S,W4O23,W4O23_exp3B,1,W4O23_day1_exp3B,W4O23_3B_day1.JPG,0.39366,W4O23_day11_exp3B,W4O23_3B_day11.JPG,0.38969,-0.010084845,-0.00397
2,A,A,0,control,A_0,30,F,A,F_A,210,CNTRL_30_F_A,B28G59,B28G59_exp2A,1,B28G59_day1_exp2A,B28G59_2A_day1.JPG,0.35905,B28G59_day11_exp2A,B28G59_2A_day11.JPG,0.38899,0.083386715,0.02994
1,A,A,0,control,A_0,30,F,A,F_A,160,CNTRL_30_F_A,B31G77,B31G77_exp1A,1,B31G77_day1_exp1A,B31G77_1A_day1.JPG,0.34958,B31G77_day11_exp1A,B31G77_1A_day11.JPG,0.38692,0.106813891,0.03734
2,A,A,0,control,A_0,30,S,A,S_A,221,CNTRL_30_S_A,B29G65,B29G65_exp2A,1,B29G65_day1_exp2A,B29G65_2A_day1.JPG,0.39542,B29G65_day11_exp2A,B29G65_2A_day11.JPG,0.38594,-0.023974508,-0.00948
1,B,A,0,control,A_0,20,F,A,F_A,184,CNTRL_20_F_A,B26G50,B26G50_exp1B,1,B26G50_day1_exp1B,B26G50_1B_day1.JPG,0.37594,B26G50_day11_exp1B,B26G50_1B_day11.JPG,0.37839,0.006516997,0.00245
1,B,A,0,control,A_0,30,S,S,S_S,182,CNTRL_30_S_S,B25G47,B25G47_exp1B,1,B25G47_day1_exp1B,B25G47_1B_day1.JPG,0.34604,B25G47_day11_exp1B,B25G47_1B_day11.JPG,0.37745,0.090769853,0.03141
2,A,A,0,control,A_0,30,S,A,S_A,198,CNTRL_30_S_A,B29G64,B29G64_exp2A,1,B29G64_day1_exp2A,B29G64_2A_day1.JPG,0.38251,B29G64_day11_exp2A,B29G64_2A_day11.JPG,0.37538,-0.018640036,-0.00713
2,B,A,0,control,A_0,20,S,S,S_S,196,CNTRL_20_S_S,B30G74,B30G74_exp2B,1,B30G74_day1_exp2B,B30G74_2B_day1.JPG,0.36785,B30G74_day11_exp2B,B30G74_2B_day11.JPG,0.36774,-0.000299035,-0.00011
3,A,A,0,control,A_0,20,F,A,F_A,237,CNTRL_20_F_A,B23G35,B23G35_exp3A,1,B23G35_day1_exp3A,B23G35_3A_day1.JPG,0.36413,B23G35_day11_exp3A,B23G35_3A_day11.JPG,0.36586,0.00475105,0.00173
3,B,A,0,control,A_0,30,F,S,F_S,245,CNTRL_30_F_S,W3O14,W3O14_exp3B,1,W3O14_day1_exp3B,W3O14_3B_day1.JPG,0.3679,W3O14_day11_exp3B,W3O14_3B_day11.JPG,0.36218,-0.015547703,-0.00572
2,B,A,0,control,A_0,20,F,A,F_A,212,CNTRL_20_F_A,B27G54,B27G54_exp2B,1,B27G54_day1_exp2B,B27G54_2B_day1.JPG,0.36274,B27G54_day11_exp2B,B27G54_2B_day11.JPG,0.36129,-0.003997353,-0.00145
3,B,A,0,control,A_0,30,S,A,S_A,242,CNTRL_30_S_A,W4O21,W4O21_exp3B,1,W4O21_day1_exp3B,W4O21_3B_day1.JPG,0.34712,W4O21_day11_exp3B,W4O21_3B_day11.JPG,0.36092,0.039755704,0.0138
3,A,A,0,control,A_0,20,S,S,S_S,240,CNTRL_20_S_S,B24G41,B24G41_exp3A,1,B24G41_day1_exp3A,B24G41_3A_day1.JPG,0.39004,B24G41_day11_exp3A,B24G41_3A_day11.JPG,0.35912,-0.079273921,-0.03092
1,B,A,0,control,A_0,20,F,S,F_S,166,CNTRL_20_F_S,B26G51,B26G51_exp1B,1,B26G51_day1_exp1B,B26G51_1B_day1.JPG,0.3968,B26G51_day11_exp1B,B26G51_1B_day11.JPG,0.35897,-0.095337702,-0.03783
3,A,A,0,control,A_0,30,S,A,S_A,238,CNTRL_30_S_A,B29G67,B29G67_exp3A,1,B29G67_day1_exp3A,B29G67_3A_day1.JPG,0.40862,B29G67_day11_exp3A,B29G67_3A_day11.JPG,0.35259,-0.137120063,-0.05603
1,B,A,0,control,A_0,30,S,A,S_A,181,CNTRL_30_S_A,B25G44,B25G44_exp1B,1,B25G44_day1_exp1B,B25G44_1B_day1.JPG,0.34133,B25G44_day11_exp1B,B25G44_1B_day11.JPG,0.3519,0.030967099,0.01057
2,B,A,0,control,A_0,30,F,A,F_A,213,CNTRL_30_F_A,B33G92,B33G92_exp2B,1,B33G92_day1_exp2B,B33G92_2B_day1.JPG,0.3919,B33G92_day11_exp2B,B33G92_2B_day11.JPG,0.34785,-0.112401123,-0.04405
2,B,A,0,control,A_0,30,S,A,S_A,224,CNTRL_30_S_A,B34G100,B34G100_exp2B,1,B34G100_day1_exp2B,B34G100_2B_day1.JPG,0.34563,B34G100_day11_exp2B,B34G100_2B_day11.JPG,0.34512,-0.001475566,-0.00051
2,B,A,0,control,A_0,30,S,S,S_S,233,CNTRL_30_S_S,B34G3409,B34G3409_exp2B,1,B34G3409_day1_exp2B,B34G34_2B_day1.JPG,0.22795,B34G3409_day11_exp2B,B34G34_2B_day11.JPG,0.34499,0.513445931,0.11704
1,A,A,0,control,A_0,30,F,S,F_S,152,CNTRL_30_F_S,B31G80,B31G80_exp1A,1,B31G80_day1_exp1A,B31G80_1A_day1.JPG,0.35304,B31G80_day11_exp1A,B31G80_1A_day11.JPG,0.34499,-0.022801949,-0.00805
3,A,A,0,control,A_0,30,F,A,F_A,237,CNTRL_30_F_A,B28G59,B28G59_exp3A,1,B28G59_day1_exp3A,B28G59_3A_day1.JPG,0.33027,B28G59_day11_exp3A,B28G59_3A_day11.JPG,0.34468,0.043630969,0.01441
1,A,A,0,control,A_0,20,S,S,S_S,144,CNTRL_20_S_S,B34G3106,B34G3106_exp1A,1,B34G3106_day1_exp1A,B34G31_1A_day1.JPG,0.37724,B34G3106_day11_exp1A,B34G31_1A_day11.JPG,0.34255,-0.091957375,-0.03469
3,B,A,0,control,A_0,20,S,S,S_S,248,CNTRL_20_S_S,O4B23,O4B23_exp3B,1,O4B23_day1_exp3B,O4B23_3B_day1.JPG,0.40931,O4B23_day11_exp3B,O4B23_3B_day11.JPG,0.3408,-0.167379248,-0.06851
3,B,A,0,control,A_0,20,F,S,F_S,247,CNTRL_20_F_S,O3B15,O3B15_exp3B,1,O3B15_day1_exp3B,O3B15_3B_day1.JPG,0.33063,O3B15_day11_exp3B,O3B15_3B_day11.JPG,0.3375,0.020778514,0.00687
3,A,A,0,control,A_0,20,F,A,F_A,237,CNTRL_20_F_A,B23G34,B23G34_exp3A,1,B23G34_day1_exp3A,B23G34_3A_day1.JPG,0.31712,B23G34_day11_exp3A,B23G34_3A_day11.JPG,0.33597,0.059441221,0.01885
1,B,A,0,control,A_0,20,S,S,S_S,182,CNTRL_20_S_S,B28G63,B28G63_exp1B,1,B28G63_day1_exp1B,B28G63_1B_day1.JPG,0.38111,B28G63_day11_exp1B,B28G63_1B_day11.JPG,0.33172,-0.12959513,-0.04939
3,A,A,0,control,A_0,30,S,A,S_A,237,CNTRL_30_S_A,B29G64,B29G64_exp3A,1,B29G64_day1_exp3A,B29G64_3A_day1.JPG,0.3032,B29G64_day11_exp3A,B29G64_3A_day11.JPG,0.33156,0.09353562,0.02836
1,B,A,0,control,A_0,20,F,A,F_A,178,CNTRL_20_F_A,B26G49,B26G49_exp1B,1,B26G49_day1_exp1B,B26G49_1B_day1.JPG,0.39171,B26G49_day11_exp1B,B26G49_1B_day11.JPG,0.32913,-0.159761048,-0.06258
2,A,A,0,control,A_0,20,F,S,F_S,193,CNTRL_20_F_S,B23G36,B23G36_exp2A,1,B23G36_day1_exp2A,B23G36_2A_day1.JPG,0.28012,B23G36_day11_exp2A,B23G36_2A_day11.JPG,0.32603,0.163894045,0.04591
2,B,A,0,control,A_0,30,S,S,S_S,217,CNTRL_30_S_S,B34G3310,B34G3310_exp2B,1,B34G3310_day1_exp2B,B34G33_2B_day1.JPG,0.29072,B34G3310_day11_exp2B,B34G33_2B_day11.JPG,0.32242,0.109039626,0.0317
1,B,A,0,control,A_0,30,S,A,S_A,187,CNTRL_30_S_A,B25G45,B25G45_exp1B,1,B25G45_day1_exp1B,B25G45_1B_day1.JPG,0.30894,B25G45_day11_exp1B,B25G45_1B_day11.JPG,0.31684,0.025571308,0.0079
3,A,A,0,control,A_0,20,S,A,S_A,237,CNTRL_20_S_A,B24G39,B24G39_exp3A,1,B24G39_day1_exp3A,B24G39_3A_day1.JPG,0.37657,B24G39_day11_exp3A,B24G39_3A_day11.JPG,0.31164,-0.172424782,-0.06493
1,A,A,0,control,A_0,30,S,S,S_S,153,CNTRL_30_S_S,B33G94,B33G94_exp1A,1,B33G94_day1_exp1A,B33G94_1A_day1.JPG,0.2803,B33G94_day11_exp1A,B33G94_1A_day11.JPG,0.31122,0.110310382,0.03092
1,A,A,0,control,A_0,20,S,S,S_S,153,CNTRL_20_S_S,B34G3310,B34G3310_exp1A,1,B34G3310_day1_exp1A,B34G33_1A_day1.JPG,0.29629,B34G3310_day11_exp1A,B34G33_1A_day11.JPG,0.30925,0.043740929,0.01296
2,B,A,0,control,A_0,20,F,S,F_S,211,CNTRL_20_F_S,B27G56,B27G56_exp2B,1,B27G56_day1_exp2B,B27G56_2B_day1.JPG,0.33947,B27G56_day11_exp2B,B27G56_2B_day11.JPG,0.3048,-0.102129791,-0.03467
1,B,A,0,control,A_0,20,S,A,S_A,179,CNTRL_20_S_A,B28G59,B28G59_exp1B,1,B28G59_day1_exp1B,B28G59_1B_day1.JPG,0.28675,B28G59_day11_exp1B,B28G59_1B_day11.JPG,0.30083,0.049102005,0.01408
1,B,A,0,control,A_0,20,S,A,S_A,168,CNTRL_20_S_A,B28G58,B28G58_exp1B,1,B28G58_day1_exp1B,B28G58_1B_day1.JPG,0.2823,B28G58_day11_exp1B,B28G58_1B_day11.JPG,0.29709,0.052391073,0.01479
