date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,06_30_22,196,P,196P,132,9,SYM,2,A,B26,G51,B26G51,2A,B26G51_exp2A,196,70,30,0.521,0.484,-0.037,-0.071017274,-3.296837366,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,F,208F,139,6,SYM,2,A,B26,G52,B26G52,2A,B26G52_exp2A,208,70,30,0.019,0.509,0.49,25.78947368,-0.713349888,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_22,06_24_22,149,D,149D,101,3,APO,2,B,B14,G14,B14G14,2B,B14G14_exp2B,149,97,20,0.562,0.361,-0.201,-0.357651246,-1.604450371,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_29_22,06_30_22,184,I,184I,126,7,APO,2,B,B14,G15,B14G15,2B,B14G15_exp2B,184,97,20,0.53,0.51,-0.02,-0.037735849,-3.912023005,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,159,D,159D,109,13,SYM,2,B,B14,G17,B14G17,2B,B14G17_exp2B,159,97,20,0.402,0.362,-0.04,-0.099502488,-3.218875825,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_01_22,202,D,202D,135,15,SYM,2,B,B14,G20,B14G20,2B,B14G20_exp2B,202,97,20,0.56,0.157,-0.403,-0.719642857,-0.908818717,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,223,D,223D,145,14,SYM,2,B,B14,G21,B14G21,2B,B14G21_exp2B,223,97,20,0.544,0.569,0.025,0.045955882,-3.688879454,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,169,I,169I,116,13,APO,2,B,B15,G22,B15G22,2B,B15G22_exp2B,169,98,20,0.528,0.47,-0.058,-0.109848485,-2.847312268,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,203,C,203C,136,2,APO,2,B,B15,G23,B15G23,2B,B15G23_exp2B,203,98,20,0.432,0.37,-0.062,-0.143518519,-2.780620894,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,180,A,180A,123,15,SYM,2,B,B15,G24,B15G24,2B,B15G24_exp2B,180,98,20,0.509,0.581,0.072,0.141453831,-2.63108916,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_05_22,208,A,208A,139,1,SYM,2,B,B15,G25,B15G25,2B,B15G25_exp2B,208,98,20,0.505,0.587,0.082,0.162376238,-2.501036032,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,224,A,224A,146,6,SYM,2,B,B15,G26,B15G26,2B,B15G26_exp2B,224,98,20,0.562,0.592,0.03,0.053380783,-3.506557897,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,167,Z,167Z,115,1,APO,2,B,B31,G77,B31G77,2B,B31G77_exp2B,167,101,30,0.325,0.279,-0.046,-0.141538462,-3.079113882,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,195,B,195B,131,5,APO,2,B,B31,G78,B31G78,2B,B31G78_exp2B,195,101,30,0.542,0.376,-0.166,-0.306273063,-1.795767491,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,174,F,174F,121,6,SYM,2,B,B31,G79,B31G79,2B,B31G79_exp2B,174,101,30,0.529,0.453,-0.076,-0.143667297,-2.577021939,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,206,C,206C,136,15,SYM,2,B,B31,G80,B31G80,2B,B31G80_exp2B,206,101,30,0.546,0.205,-0.341,-0.624542125,-1.075872802,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,223,H,223H,146,2,SYM,2,B,B31,G82,B31G82,2B,B31G82_exp2B,223,101,30,0.553,0.472,-0.081,-0.146473779,-2.513306124,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,170,B,170B,117,5,APO,2,B,B32,G83,B32G83,2B,B32G83_exp2B,170,102,30,0.525,0.434,-0.091,-0.173333333,-2.396895772,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_05_22,211,B,211B,140,16,APO,2,B,B32,G84,B32G84,2B,B32G84_exp2B,211,102,30,0.467,0.454,-0.013,-0.027837259,-4.342805922,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,188,D,188D,129,4,SYM,2,B,B32,G85,B32G85,2B,B32G85_exp2B,188,102,30,0.564,0.469,-0.095,-0.168439716,-2.353878387,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,I,208I,139,9,SYM,2,B,B32,G87,B32G87,2B,B32G87_exp2B,208,102,30,0.511,0.529,0.018,0.035225049,-4.017383521,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_07_22,225,H,225H,147,3,SYM,2,B,B32,G88,B32G88,2B,B32G88_exp2B,225,102,30,0.485,0.485,0,0,0,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,239,B,239B,160,6,SYM,3,A,B13,G10,B13G10,3A,B13G10_exp3A,239,129,20,0.545,0.591,0.046,0.08440367,-3.079113882,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,08_03_22,240,P,240P,162,10,SYM,3,A,B13,G13,B13G13,3A,B13G13_exp3A,240,129,20,0.491,0.343,-0.148,-0.301425662,-1.910543005,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,07_07_22,223,A,223A,145,11,APO,3,A,B13,G2,B13G2,3A,B13G2_exp3A,223,129,20,0.353,0.237,-0.116,-0.328611898,-2.154165088,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,E,237E,154,7,APO,3,A,B13,G3,B13G3,3A,B13G3_exp3A,237,129,20,0.496,0.342,-0.154,-0.310483871,-1.870802677,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_02_22,237,AT,237AT,156,16,APO,3,A,B13,G8,B13G8,3A,B13G8_exp3A,237,129,20,0.561,0.372,-0.189,-0.336898396,-1.666008264,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_03_22,241,A,241A,163,3,SYM,3,A,B22,G27,B22G27,3A,B22G27_exp3A,241,130,20,0.596,0.023,-0.573,-0.961409396,-0.556869562,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,227,C,227C,148,11,APO,3,A,B22,G28,B22G28,3A,B22G28_exp3A,227,130,20,0.329,0.408,0.079,0.240121581,-2.538307427,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,O,237O,155,1,APO,3,A,B22,G29,B22G29,3A,B22G29_exp3A,237,130,20,0.343,0.197,-0.146,-0.425655977,-1.924148657,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_02_22,237,BB,237BB,157,8,APO,3,A,B22,G30,B22G30,3A,B22G30_exp3A,237,130,20,0.532,0.515,-0.017,-0.031954887,-4.074541935,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_03_22,239,K,239K,160,15,SYM,3,A,B22,G31,B22G31,3A,B22G31_exp3A,239,130,20,0.571,0.02,-0.551,-0.96497373,-0.59602047,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,226,B,226B,147,11,APO,3,A,B25,G43,B25G43,3A,B25G43_exp3A,226,133,30,0.509,0.249,-0.26,-0.510805501,-1.347073648,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,J,237J,154,12,APO,3,A,B25,G44,B25G44,3A,B25G44_exp3A,237,133,30,0.303,0.485,0.182,0.600660066,-1.703748592,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,AX,237AX,157,4,APO,3,A,B25,G45,B25G45,3A,B25G45_exp3A,237,133,30,0.427,0.421,-0.006,-0.014051522,-5.11599581,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,239,G,239G,160,11,SYM,3,A,B25,G46,B25G46,3A,B25G46_exp3A,239,133,30,0.523,0.513,-0.01,-0.019120459,-4.605170186,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,240,T,240T,162,14,SYM,3,A,B25,G47,B25G47,3A,B25G47_exp3A,240,133,30,0.416,0.386,-0.03,-0.072115385,-3.506557897,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,229,E,229E,149,15,APO,3,A,B26,G48,B26G48,3A,B26G48_exp3A,229,134,30,0.548,0.358,-0.19,-0.346715328,-1.660731207,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,T,237T,155,6,APO,3,A,B26,G49,B26G49,3A,B26G49_exp3A,237,134,30,0.35,0.389,0.039,0.111428571,-3.244193633,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_02_22,237,BF,237BF,157,12,APO,3,A,B26,G50,B26G50,3A,B26G50_exp3A,237,134,30,0.3,0.437,0.137,0.456666667,-1.987774353,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_03_22,239,Q,239Q,161,5,SYM,3,A,B26,G51,B26G51,3A,B26G51_exp3A,239,134,30,0.518,0.513,-0.005,-0.00965251,-5.298317367,N_0_30_S_A,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,241,E,241E,163,7,SYM,3,A,B26,G52,B26G52,3A,B26G52_exp3A,241,134,30,0.541,0.55,0.009,0.01663586,-4.710530702,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_22_28,07_31_28,235,G,235G,153,7,APO,3,A,B28,G58,B28G58,3A,B28G58_exp3A,235,135,30,0.448,0.477,0.029,0.064732143,-3.540459449,N_0_30_S_S,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,08_03_22,238,K,238K,159,5,APO,3,B,O1,B1,O1B1,3B,O1B1_exp3B,238,161,20,0.318,0.436,0.118,0.371069182,-2.137070655,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,08_03_22,242,T,242T,166,1,APO,3,B,O1,B2,O1B2,3B,O1B2_exp3B,242,161,20,0.422,0.442,0.02,0.047393365,-3.912023005,N_0_20_F_S,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
08_01_22,8_05_22,251,F,251F,172,7,SYM,3,B,O1,B3,O1B3,3B,O1B3_exp3B,251,161,20,0.481,0.396,-0.085,-0.176715177,-2.465104022,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_05_22,245,J,245J,169,5,SYM,3,B,O1,B4,O1B4,3B,O1B4_exp3B,245,161,20,0.558,0.14,-0.418,-0.749103943,-0.872273846,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_06_22,256,B,256B,177,4,SYM,3,B,O1,B5,O1B5,3B,O1B5_exp3B,256,161,20,0.139,0.585,0.446,3.208633094,-0.807436327,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
08_01_22,8_05_22,249,F,249F,171,4,SYM,3,B,O2,B10,O2B10,3B,O2B10_exp3B,249,169,20,0.553,0.337,-0.216,-0.390596745,-1.532476871,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_05_22,252,P,252P,173,1,SYM,3,B,O2,B11,O2B11,3B,O2B11_exp3B,252,169,20,0.539,0.583,0.044,0.081632653,-3.123565645,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,8_06_22,257,E,257E,177,16,SYM,3,B,O2,B12,O2B12,3B,O2B12_exp3B,257,169,20,0.575,0.042,-0.533,-0.926956522,-0.629233855,N_0_20_S_A,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
08_01_22,08_03_22,238,T,238T,159,14,APO,3,B,O2,B7,O2B7,3B,O2B7_exp3B,238,169,20,0.301,0.353,0.052,0.172757475,-2.95651156,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
08_01_22,08_03_22,238,P,238P,159,10,APO,3,B,W1,O1,W1O1,3B,W1O1_exp3B,238,177,30,0.359,0.32,-0.039,-0.108635097,-3.244193633,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,242,Z,242Z,166,7,APO,3,B,W1,O2,W1O2,3B,W1O2_exp3B,242,177,30,0.414,0.359,-0.055,-0.132850242,-2.900422094,N_0_30_F_S,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,8_05_22,251,K,251K,172,12,SYM,3,B,W1,O3,W1O3,3B,W1O3_exp3B,251,177,30,0.568,0.554,-0.014,-0.024647887,-4.268697949,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,245,L,245L,169,7,SYM,3,B,W1,O4,W1O4,3B,W1O4_exp3B,245,177,30,0.047,0.384,0.337,7.170212766,-1.087672349,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_06_22,256,G,256G,177,9,SYM,3,B,W1,O5,W1O5,3B,W1O5_exp3B,256,177,30,0.013,0.449,0.436,33.53846154,-0.830113036,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,250,D,250D,171,10,SYM,3,B,W2,O10,W2O10,3B,W2O10_exp3B,250,186,30,0.528,0.24,-0.288,-0.545454545,-1.244794799,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,8_05_22,252,O,252O,173,16,SYM,3,B,W2,O11,W2O11,3B,W2O11_exp3B,252,186,30,0.472,0.221,-0.251,-0.531779661,-1.38230234,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,243,E,243E,167,1,SYM,3,B,W2,O12,W2O12,3B,W2O12_exp3B,243,186,30,0.556,0.575,0.019,0.034172662,-3.9633163,N_0_30_S_A,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,238,Y,238Y,160,3,APO,3,B,W2,O7,W2O7,3B,W2O7_exp3B,238,186,30,0.419,0.536,0.117,0.279236277,-2.145581344,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
08_01_22,8_05_22,244,I,244I,168,4,APO,3,B,W2,O8,W2O8,3B,W2O8_exp3B,244,186,30,0.512,0.583,0.071,0.138671875,-2.645075402,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
